"OBJECTID","FNAME","CLASS","DESCRIPTIO","COORD_X","COORD_Y","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin0Name","admin0Pcod","rowcacode0","Pcod1_iso3","Pcod2_iso3","coords.x1","coords.x2","optional"
"255","Wuluken",0,NA,-7.72522,4.7521,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.72521999999998,4.75210000000004,TRUE
"256","LLWPC Camp",0,NA,-7.75727,4.75539,"Maryland","LR10","Karluway#1","LR1003","Liberia","LR","LBR","LBR010","LBR010003",-7.75726999999995,4.75539000000003,TRUE
"257","Tarworken",0,NA,-7.6414,4.75718,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.64139999999998,4.75718000000006,TRUE
"258","Wutuken",0,NA,-8.18974,4.75775,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.18973999999997,4.75775000000004,TRUE
"259","Butra",0,NA,-8.56733,4.75899,"Grand Kru","LR07","Upper Jloh","LR0717","Liberia","LR","LBR","LBR007","LBR007017",-8.56732999999997,4.75899000000004,TRUE
"260","Kanweaken",0,NA,-8.09163,4.7604,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.09162999999995,4.76040000000006,TRUE
"261","Pougbaken",0,NA,-7.7528,4.76073,"Maryland","LR10","Karluway#1","LR1003","Liberia","LR","LBR","LBR010","LBR010003",-7.75279999999998,4.76073000000002,TRUE
"262","Fleneken",0,NA,-8.19704,4.76462,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.19703999999996,4.76462000000004,TRUE
"263","Dio (Wappi City)",0,NA,-8.58259,4.76576,"Grand Kru","LR07","Lower Jloh","LR0714","Liberia","LR","LBR","LBR007","LBR007014",-8.58258999999993,4.76576000000006,TRUE
"264","Pounken",0,NA,-7.70137,4.76706,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.70136999999994,4.76706000000007,TRUE
"265","Wessepo",0,NA,-8.59348,4.76901,"Grand Kru","LR07","Lower Jloh","LR0714","Liberia","LR","LBR","LBR007","LBR007014",-8.59347999999994,4.76901000000004,TRUE
"266","Saywonken",0,NA,-7.92529,4.77213,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-7.92528999999996,4.77213000000006,TRUE
"267","Tyetabeso",0,NA,-7.6775,4.77512,"Maryland","LR10","Karluway#1","LR1003","Liberia","LR","LBR","LBR010","LBR010003",-7.67749999999995,4.77512000000007,TRUE
"268","Wlokri",0,NA,-8.28959,4.77733,"Grand Kru","LR07","Nrokwia-Wesldow","LR0715","Liberia","LR","LBR","LBR007","LBR007015",-8.28958999999998,4.77733000000006,TRUE
"269","Poliken",0,NA,-7.91694,4.7804,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-7.91693999999995,4.78040000000004,TRUE
"270","Sobo",0,NA,-8.62283,4.78263,"Grand Kru","LR07","Lower Jloh","LR0714","Liberia","LR","LBR","LBR007","LBR007014",-8.62282999999996,4.78263000000004,TRUE
"271","Paytay",0,NA,-8.63064,4.78481,"Grand Kru","LR07","Lower Jloh","LR0714","Liberia","LR","LBR","LBR007","LBR007014",-8.63063999999997,4.78481000000005,TRUE
